S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date;
1;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:11:41 PM
2;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:11:42 PM
3;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:11:47 PM
4;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:11:47 PM
5;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:11:52 PM
6;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:11:52 PM
7;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:11:57 PM
8;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:11:57 PM
9;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:02 PM
10;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:02 PM
11;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:07 PM
12;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:07 PM
13;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:12 PM
14;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:12 PM
15;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:17 PM
16;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:17 PM
17;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:22 PM
18;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:22 PM
19;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;-LrGgPn_g8-0BP3WP2vV;-713.475.067;-299.649.983;5;0;0;0;undefined;0;0;0;0;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:22 PM
20;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:27 PM
21;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:27 PM
22;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;0;0;undefined;0;0;0;0;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:28 PM
23;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:34 PM
24;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:34 PM
25;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;0;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:34 PM
26;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:34 PM
27;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:34 PM
28;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;0;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:34 PM
29;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:38 PM
30;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;-LrGgTgs_-0jLlrk6CAz;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:38 PM
31;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:38 PM
32;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:45 PM
33;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:45 PM
34;EtGPKlP9V7OE9ntm8kB8y3jjBVo2;#¿NOMBRE?;-713.475.067;-299.649.983;5;0;1;0;undefined;0;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;oct-15; 2019 11:12:45 PM
